responseText,mj_n_components,n_trials,within_outcome_fraction
Not fixating on the dot enough!!!,1.0,526,0.3890532544378698
Not fixating on the dot enough!!!,2.0,746,0.5517751479289941
Not fixating on the dot enough!!!,3.0,71,0.05251479289940828
Not fixating on the dot enough!!!,4.0,9,0.006656804733727811
Success,1.0,1242,0.41317365269461076
Success,2.0,1662,0.5528942115768463
Success,3.0,90,0.029940119760479042
Success,4.0,12,0.003992015968063872
Too late,1.0,85,0.2607361963190184
Too late,2.0,171,0.5245398773006135
Too late,3.0,59,0.18098159509202455
Too late,4.0,11,0.03374233128834356
