model_family,latent_dim,trajectory_mse,movement_time_mae_ms,initiation_time_mae_ms,mean_ks,ks_n_submovements,energy_distance,mmd_rbf
condition_ridge,0,1.2337952342492362,72.72383048287865,98.48968474630635,0.27726443496584474,0.06094080845844625,0.8187217963389593,0.12585372616609775
conditional_ae,3,0.16966130228738585,44.08681820624583,37.752816420919366,0.2875782467460615,0.04780704837701176,0.8014886680346696,0.14141003392147808
conditional_ae,8,0.02596781300690434,42.666967655561436,39.87227959146922,0.2586862157259097,0.05944369446133225,0.6202242242032429,0.11113481142118393
cvae,2,0.32471216408141856,46.78498571736464,39.82381801528835,0.3101203935693328,0.05502806809803148,0.8911220821331616,0.16320171208628523
cvae,3,0.17698055415872574,43.44576988035641,37.83163642461849,0.27779451273687794,0.049703994023957414,0.7454307783136663,0.13093505803964905
cvae,4,0.10177627027792423,44.83587223750785,35.70127764979191,0.262586293256531,0.046225619470001464,0.6682939781989099,0.11292825464858568
cvae,8,0.032481218415279414,44.16257585361092,34.83709506602473,0.21940400159869472,0.05020848522612303,0.43045115897281766,0.06749342391175364
spline_pca,2,0.19702098417194988,50.894456739060956,56.563849935507804,0.3552265685020097,0.04806285953398571,1.1409681251220927,0.21419407425337458
spline_pca,3,0.09725526191949685,51.159554442627496,56.15501238496099,0.3251255882887887,0.05348229474993255,0.9774327846489692,0.1814667335738065
spline_pca,4,0.07647296423584063,51.214957700571425,56.23865198964728,0.30168444379047266,0.06531490658254438,0.899417506932467,0.1665915378229164
spline_pca,8,0.022772415541801736,50.20757453148878,55.5835691503279,0.25479443629207854,0.1199776049952428,0.7347145035712234,0.11529063380077316
unconditional_vae,3,0.14829944149161972,42.90838283872696,37.91676315776151,0.2845873433344036,0.051973435392235985,0.7475664183202902,0.1302980115399223
unconditional_vae,8,0.033486992496304886,42.20518171259946,35.98264219997669,0.21512115987954522,0.0505812605988984,0.41101443319731873,0.06388130250594579
