dim,model_a,model_b,metric,n,mean_a,mean_b,mean_b_minus_a,median_b_minus_a,a_better_n,b_better_n,p,q_bh_140,p_holm_140
3,cvae,conditional_ae,trajectory_mse,28,0.17698055415872574,0.16966130228738585,-0.00731925187133991,-0.000768745148731792,14,14,0.3052256628870964,0.36837580003615084,1.0
3,cvae,conditional_ae,movement_time_mae_ms,28,43.44576988035641,44.086818206245816,0.6410483258894208,0.26659262203495615,17,11,0.12562106549739838,0.16749475399653116,1.0
3,cvae,conditional_ae,initiation_time_mae_ms,28,37.83163642461849,37.75281642091936,-0.07882000369912502,0.23839555615226438,18,10,0.6295278295874596,0.6840148303593016,1.0
3,cvae,conditional_ae,mean_ks,28,0.27779451273687794,0.2875782467460615,0.009783734009183555,0.008982616426436607,20,8,0.05638675391674042,0.08309626892993324,1.0
3,cvae,conditional_ae,ks_n_submovements,28,0.04970399402395741,0.04780704837701176,-0.00189694564694565,0.0,12,13,0.6302708079739279,0.6840148303593016,1.0
3,cvae,conditional_ae,energy_distance,28,0.7454307783136663,0.8014886680346697,0.05605788972100332,0.06083194186316873,22,6,0.014598868787288666,0.024331447978814445,0.8324288657966287
3,cvae,conditional_ae,mmd_rbf,28,0.13093505803964908,0.14141003392147808,0.010474975881829055,0.013275413577651699,20,8,0.028050199151039124,0.04363364312383864,1.0
3,cvae,unconditional_vae,trajectory_mse,28,0.17698055415872574,0.14829944149161972,-0.028681112667106025,-0.011394618988388484,6,22,0.0008751451969146729,0.001633604367574056,0.05775958299636841
3,cvae,unconditional_vae,movement_time_mae_ms,28,43.44576988035641,42.90838283872696,-0.5373870416294497,-0.18299845370370704,13,15,0.35016296058893204,0.4154475803597499,1.0
3,cvae,unconditional_vae,initiation_time_mae_ms,28,37.83163642461849,37.9167631577615,0.08512673314301937,-1.0119803891989072,8,20,0.06981273740530014,0.09773783236742019,1.0
3,cvae,unconditional_vae,mean_ks,28,0.27779451273687794,0.28458734333440366,0.006792830597525683,0.007281144781144722,20,8,0.014352221824079804,0.024208566932182804,0.8324288657966287
3,cvae,unconditional_vae,ks_n_submovements,28,0.04970399402395741,0.051973435392235985,0.0022694413682785787,0.00029069767441862026,15,9,0.18194541139947396,0.23805941678435844,1.0
3,cvae,unconditional_vae,energy_distance,28,0.7454307783136663,0.7475664183202901,0.0021356400066239963,-5.915022178754059e-06,14,14,0.9910601079463959,0.9910601079463959,1.0
3,cvae,unconditional_vae,mmd_rbf,28,0.13093505803964908,0.13029801153992226,-0.0006370464997267506,-9.988835267737972e-05,13,15,0.9374814853072166,0.9442259564245347,1.0
3,cvae,spline_pca,trajectory_mse,28,0.17698055415872574,0.09725526191949685,-0.07972529223922889,-0.04582591161643259,6,22,9.395182132720947e-06,2.798564890597729e-05,0.0009019374847412109
3,cvae,spline_pca,movement_time_mae_ms,28,43.44576988035641,51.159554442627496,7.713784562271091,4.074454326784274,24,4,3.17990779876709e-05,8.399756449573445e-05,0.00283011794090271
3,cvae,spline_pca,initiation_time_mae_ms,28,37.83163642461849,56.155012384961005,18.32337596034251,16.120226496233887,27,1,1.4901161193847656e-08,8.692344029744466e-08,1.773238182067871e-06
3,cvae,spline_pca,mean_ks,28,0.27779451273687794,0.3251255882887887,0.04733107555191075,0.04579124579124577,26,2,3.203749656677246e-07,1.5466377652924636e-06,3.5881996154785156e-05
3,cvae,spline_pca,ks_n_submovements,28,0.04970399402395741,0.05348229474993255,0.0037783007259751416,-0.002777777777777798,12,15,0.8463800411049541,0.871273571725688,1.0
3,cvae,spline_pca,energy_distance,28,0.7454307783136663,0.9774327846489691,0.232002006335303,0.17559796195855754,24,4,4.2110681533813477e-05,0.00010527670383453369,0.003621518611907959
3,cvae,spline_pca,mmd_rbf,28,0.13093505803964908,0.18146673357380647,0.05053167553415745,0.05085045928664425,24,4,7.964670658111572e-06,2.5342133912173182e-05,0.0007805377244949341
3,cvae,condition_ridge,trajectory_mse,28,0.17698055415872574,1.233795234249236,1.0568146800905105,0.9478217174669765,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,cvae,condition_ridge,movement_time_mae_ms,28,43.44576988035641,72.72383048287865,29.27806060252224,24.51407784967067,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,cvae,condition_ridge,initiation_time_mae_ms,28,37.83163642461849,98.48968474630635,60.65804832168788,56.88600676731575,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,cvae,condition_ridge,mean_ks,28,0.27779451273687794,0.27726443496584474,-0.0005300777710331905,0.0031731169371618656,15,13,0.6244159356002699,0.6840148303593016,1.0
3,cvae,condition_ridge,ks_n_submovements,28,0.04970399402395741,0.06094080845844624,0.011236814434488842,0.009259259259259248,16,12,0.12412951802026724,0.16709742810420591,1.0
3,cvae,condition_ridge,energy_distance,28,0.7454307783136663,0.8187217963389594,0.07329101802529303,0.03975295990213673,16,12,0.5670346617698669,0.635078821182251,1.0
3,cvae,condition_ridge,mmd_rbf,28,0.13093505803964908,0.12585372616609777,-0.005081331873551277,-0.0009410026562681126,14,14,0.6136380508542061,0.6818200565046735,1.0
3,conditional_ae,unconditional_vae,trajectory_mse,28,0.16966130228738585,0.14829944149161972,-0.021361860795766106,-0.0048683414822221945,8,20,0.02322421222925186,0.03694761036471887,1.0
3,conditional_ae,unconditional_vae,movement_time_mae_ms,28,44.086818206245816,42.90838283872696,-1.1784353675188706,-0.9534099459009635,10,18,0.0007921457290649414,0.001498654082014754,0.05319253005098748
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,28,37.75281642091936,37.9167631577615,0.16394673684214428,-1.3536205833480395,8,20,0.017886914312839508,0.029118232602296873,0.9837802872061729
3,conditional_ae,unconditional_vae,mean_ks,28,0.2875782467460615,0.28458734333440366,-0.0029909034116578697,-0.00022036847879541854,13,15,0.732665168036112,0.7830009429393564,1.0
3,conditional_ae,unconditional_vae,ks_n_submovements,28,0.04780704837701176,0.051973435392235985,0.0041663870152242296,0.0,13,9,0.39635944072693485,0.45859770001463535,1.0
3,conditional_ae,unconditional_vae,energy_distance,28,0.8014886680346697,0.7475664183202901,-0.05392224971437932,-0.05581878272145707,8,20,0.021778732538223267,0.03504623626840526,1.0
3,conditional_ae,unconditional_vae,mmd_rbf,28,0.14141003392147808,0.13029801153992226,-0.011112022381555802,-0.011363672881008216,8,20,0.01362369954586029,0.023259974834395618,0.8037982732057571
3,conditional_ae,spline_pca,trajectory_mse,28,0.16966130228738585,0.09725526191949685,-0.072406040367889,-0.039971534498598776,3,25,2.7641654014587402e-06,1.074953211678399e-05,0.0002902373671531677
3,conditional_ae,spline_pca,movement_time_mae_ms,28,44.086818206245816,51.159554442627496,7.072736236381671,3.357666311073224,19,9,0.0015547871589660645,0.002790643618657039,0.09795159101486206
3,conditional_ae,spline_pca,initiation_time_mae_ms,28,37.75281642091936,56.155012384961005,18.402195964041635,18.224054846965707,27,1,1.4901161193847656e-08,8.692344029744466e-08,1.773238182067871e-06
3,conditional_ae,spline_pca,mean_ks,28,0.2875782467460615,0.3251255882887887,0.03754734154272721,0.040235690235690263,25,3,4.830211400985718e-05,0.0001186367712522808,0.004057377576828003
3,conditional_ae,spline_pca,ks_n_submovements,28,0.04780704837701176,0.05348229474993255,0.005675246372920789,0.0,13,13,0.5533491579206133,0.6247490492652087,1.0
3,conditional_ae,spline_pca,energy_distance,28,0.8014886680346697,0.9774327846489691,0.17594411661429962,0.08593829391558425,18,10,0.007071197032928467,0.012221822032222041,0.424271821975708
3,conditional_ae,spline_pca,mmd_rbf,28,0.14141003392147808,0.18146673357380647,0.0400566996523284,0.028145278648586763,24,4,7.204711437225342e-05,0.000168109933535258,0.00590786337852478
3,conditional_ae,condition_ridge,trajectory_mse,28,0.16966130228738585,1.233795234249236,1.0641339319618504,0.9622304006868456,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,conditional_ae,condition_ridge,movement_time_mae_ms,28,44.086818206245816,72.72383048287865,28.637012276632824,25.01329757899608,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,conditional_ae,condition_ridge,initiation_time_mae_ms,28,37.75281642091936,98.48968474630635,60.736868325387,59.61087079203845,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,conditional_ae,condition_ridge,mean_ks,28,0.2875782467460615,0.27726443496584474,-0.010313811780216743,-0.01287878787878785,11,17,0.22310594968317432,0.2839530268694946,1.0
3,conditional_ae,condition_ridge,ks_n_submovements,28,0.04780704837701176,0.06094080845844624,0.013133760081434492,0.004587542087542083,19,9,0.05719137475606755,0.08340408818593184,1.0
3,conditional_ae,condition_ridge,energy_distance,28,0.8014886680346697,0.8187217963389594,0.01723312830428973,-0.003002007854722155,14,14,0.831373319029808,0.8621649234383194,1.0
3,conditional_ae,condition_ridge,mmd_rbf,28,0.14141003392147808,0.12585372616609777,-0.015556307755380335,-0.017631335838316328,11,17,0.15023531019687653,0.19842399459964824,1.0
3,unconditional_vae,spline_pca,trajectory_mse,28,0.14829944149161972,0.09725526191949685,-0.05104417957212289,-0.03959847102335881,6,22,2.7544796466827393e-05,7.561316677168303e-05,0.0024790316820144653
3,unconditional_vae,spline_pca,movement_time_mae_ms,28,42.90838283872696,51.159554442627496,8.25117160390054,3.6357623495667735,23,5,2.380460500717163e-05,6.665289402008057e-05,0.0021662190556526184
3,unconditional_vae,spline_pca,initiation_time_mae_ms,28,37.9167631577615,56.155012384961005,18.23824922719949,17.039723645818725,26,2,9.395182132720947e-06,2.798564890597729e-05,0.0009019374847412109
3,unconditional_vae,spline_pca,mean_ks,28,0.28458734333440366,0.3251255882887887,0.04053824495438507,0.040067340067340085,25,3,7.964670658111572e-06,2.5342133912173182e-05,0.0007805377244949341
3,unconditional_vae,spline_pca,ks_n_submovements,28,0.051973435392235985,0.05348229474993255,0.0015088593576965614,-0.004166666666666676,10,15,0.6728067568135493,0.7245611227222838,1.0
3,unconditional_vae,spline_pca,energy_distance,28,0.7475664183202901,0.9774327846489691,0.22986636632867902,0.1844165470639542,24,4,4.2110681533813477e-05,0.00010527670383453369,0.003621518611907959
3,unconditional_vae,spline_pca,mmd_rbf,28,0.13029801153992226,0.18146673357380647,0.051168722033884194,0.05420794660040994,24,4,9.395182132720947e-06,2.798564890597729e-05,0.0009019374847412109
3,unconditional_vae,condition_ridge,trajectory_mse,28,0.14829944149161972,1.233795234249236,1.0854957927576163,0.9776533845344988,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,unconditional_vae,condition_ridge,movement_time_mae_ms,28,42.90838283872696,72.72383048287865,29.815447644151693,26.564346186603025,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,unconditional_vae,condition_ridge,initiation_time_mae_ms,28,37.9167631577615,98.48968474630635,60.572921588544844,60.45244971320386,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,unconditional_vae,condition_ridge,mean_ks,28,0.28458734333440366,0.27726443496584474,-0.007322908368558874,-0.010816498316498294,12,16,0.31088767302760467,0.372002343793715,1.0
3,unconditional_vae,condition_ridge,ks_n_submovements,28,0.051973435392235985,0.06094080845844624,0.00896737306621026,0.008333333333333338,17,11,0.249808345544001,0.30949706527575344,1.0
3,unconditional_vae,condition_ridge,energy_distance,28,0.7475664183202901,0.8187217963389594,0.07115537801866906,0.03172294810616769,15,13,0.5075842142105103,0.5777381299957027,1.0
3,unconditional_vae,condition_ridge,mmd_rbf,28,0.13029801153992226,0.12585372616609777,-0.004444285373824528,0.0015749245876626947,15,13,0.831373319029808,0.8621649234383194,1.0
3,spline_pca,condition_ridge,trajectory_mse,28,0.09725526191949685,1.233795234249236,1.1365399723297391,1.0029343517714595,28,0,7.450580596923828e-09,4.967053731282552e-08,1.043081283569336e-06
3,spline_pca,condition_ridge,movement_time_mae_ms,28,51.159554442627496,72.72383048287865,21.564276040251155,20.889613157260754,27,1,5.21540641784668e-08,2.60770320892334e-07,5.997717380523682e-06
