dim,model_a,model_b,metric,fold,mean_b_minus_a
3,cvae,conditional_ae,trajectory_mse,0,0.0031444277672710496
3,cvae,conditional_ae,trajectory_mse,1,0.05577357148898328
3,cvae,conditional_ae,trajectory_mse,2,-0.012567190872598376
3,cvae,conditional_ae,trajectory_mse,3,-0.0756278158690156
3,cvae,conditional_ae,movement_time_mae_ms,0,0.21192913333488075
3,cvae,conditional_ae,movement_time_mae_ms,1,0.2379127627979025
3,cvae,conditional_ae,movement_time_mae_ms,2,-0.2567543386903378
3,cvae,conditional_ae,movement_time_mae_ms,3,2.371105746115238
3,cvae,conditional_ae,initiation_time_mae_ms,0,1.4937979971805002
3,cvae,conditional_ae,initiation_time_mae_ms,1,-1.1576522718257094
3,cvae,conditional_ae,initiation_time_mae_ms,2,0.2607860935677065
3,cvae,conditional_ae,initiation_time_mae_ms,3,-0.9122118337189973
3,cvae,conditional_ae,mean_ks,0,0.023632504446457935
3,cvae,conditional_ae,mean_ks,1,0.01697746697746697
3,cvae,conditional_ae,mean_ks,2,0.009853619123282023
3,cvae,conditional_ae,mean_ks,3,-0.011328654510472717
3,cvae,conditional_ae,ks_n_submovements,0,-0.0002645502645502621
3,cvae,conditional_ae,ks_n_submovements,1,-0.007142857142857143
3,cvae,conditional_ae,ks_n_submovements,2,0.0009259259259259151
3,cvae,conditional_ae,ks_n_submovements,3,-0.0011063011063011086
3,cvae,conditional_ae,energy_distance,0,0.16644710852151348
3,cvae,conditional_ae,energy_distance,1,0.07577416825155756
3,cvae,conditional_ae,energy_distance,2,0.04928986947381815
3,cvae,conditional_ae,energy_distance,3,-0.06727958736287594
3,cvae,conditional_ae,mmd_rbf,0,0.03434202081240806
3,cvae,conditional_ae,mmd_rbf,1,0.011022463853596589
3,cvae,conditional_ae,mmd_rbf,2,0.011360247647283512
3,cvae,conditional_ae,mmd_rbf,3,-0.014824828785971949
3,cvae,unconditional_vae,trajectory_mse,0,0.0025995587070572162
3,cvae,unconditional_vae,trajectory_mse,1,-0.02879526459778109
3,cvae,unconditional_vae,trajectory_mse,2,-0.01215830671267142
3,cvae,unconditional_vae,trajectory_mse,3,-0.07637043806502877
3,cvae,unconditional_vae,movement_time_mae_ms,0,-0.06948142830019119
3,cvae,unconditional_vae,movement_time_mae_ms,1,-2.1936989983847144
3,cvae,unconditional_vae,movement_time_mae_ms,2,-0.8908210621574736
3,cvae,unconditional_vae,movement_time_mae_ms,3,1.0044533223245804
3,cvae,unconditional_vae,initiation_time_mae_ms,0,-1.1339823567648868
3,cvae,unconditional_vae,initiation_time_mae_ms,1,-2.133619140769267
3,cvae,unconditional_vae,initiation_time_mae_ms,2,-1.1541732505016975
3,cvae,unconditional_vae,initiation_time_mae_ms,3,4.762281680607928
3,cvae,unconditional_vae,mean_ks,0,0.006008031589426917
3,cvae,unconditional_vae,mean_ks,1,0.011127761127761121
3,cvae,unconditional_vae,mean_ks,2,0.010067231977344307
3,cvae,unconditional_vae,mean_ks,3,-3.1702304429611005e-05
3,cvae,unconditional_vae,ks_n_submovements,0,8.3056478405314e-05
3,cvae,unconditional_vae,ks_n_submovements,1,-0.002380952380952369
3,cvae,unconditional_vae,ks_n_submovements,2,-2.6640396238215253e-18
3,cvae,unconditional_vae,ks_n_submovements,3,0.011375661375661372
3,cvae,unconditional_vae,energy_distance,0,-0.001812465252939829
3,cvae,unconditional_vae,energy_distance,1,0.011206418284787276
3,cvae,unconditional_vae,energy_distance,2,0.04062240935580557
3,cvae,unconditional_vae,energy_distance,3,-0.04147380236115703
3,cvae,unconditional_vae,mmd_rbf,0,-0.0005744411856280932
3,cvae,unconditional_vae,mmd_rbf,1,0.0011419691354841702
3,cvae,unconditional_vae,mmd_rbf,2,0.008347259745550489
3,cvae,unconditional_vae,mmd_rbf,3,-0.011462973694313566
3,cvae,spline_pca,trajectory_mse,0,-0.012742153081338062
3,cvae,spline_pca,trajectory_mse,1,-0.10838508389655101
3,cvae,spline_pca,trajectory_mse,2,-0.03313366954960647
3,cvae,spline_pca,trajectory_mse,3,-0.16464026242942012
3,cvae,spline_pca,movement_time_mae_ms,0,10.085441250677956
3,cvae,spline_pca,movement_time_mae_ms,1,9.335969653768899
3,cvae,spline_pca,movement_time_mae_ms,2,9.18153810834399
3,cvae,spline_pca,movement_time_mae_ms,3,2.2521892362935167
3,cvae,spline_pca,initiation_time_mae_ms,0,28.256161414915397
3,cvae,spline_pca,initiation_time_mae_ms,1,14.04052513478473
3,cvae,spline_pca,initiation_time_mae_ms,2,18.676944188676938
3,cvae,spline_pca,initiation_time_mae_ms,3,12.319873102992974
3,cvae,spline_pca,mean_ks,0,0.05200118572211595
3,cvae,spline_pca,mean_ks,1,0.04637677137677137
3,cvae,spline_pca,mean_ks,2,0.0683305770384422
3,cvae,spline_pca,mean_ks,3,0.022615768070313513
3,cvae,spline_pca,ks_n_submovements,0,0.011277224067921744
3,cvae,spline_pca,ks_n_submovements,1,-0.015476190476190482
3,cvae,spline_pca,ks_n_submovements,2,0.012301587301587301
3,cvae,spline_pca,ks_n_submovements,3,0.007010582010582007
3,cvae,spline_pca,energy_distance,0,0.23318381332023072
3,cvae,spline_pca,energy_distance,1,0.3971876875363172
3,cvae,spline_pca,energy_distance,2,0.24829574467789114
3,cvae,spline_pca,energy_distance,3,0.049340779806772865
3,cvae,spline_pca,mmd_rbf,0,0.06512801155862379
3,cvae,spline_pca,mmd_rbf,1,0.06393855842701672
3,cvae,spline_pca,mmd_rbf,2,0.0648722634181371
3,cvae,spline_pca,mmd_rbf,3,0.008187868732852209
3,cvae,condition_ridge,trajectory_mse,0,0.8923497860874497
3,cvae,condition_ridge,trajectory_mse,1,1.2527557507705158
3,cvae,condition_ridge,trajectory_mse,2,1.055625283091113
3,cvae,condition_ridge,trajectory_mse,3,1.0265279004129635
3,cvae,condition_ridge,movement_time_mae_ms,0,30.100001385544477
3,cvae,condition_ridge,movement_time_mae_ms,1,35.75621144244171
3,cvae,condition_ridge,movement_time_mae_ms,2,32.02959699217735
3,cvae,condition_ridge,movement_time_mae_ms,3,19.226432589925444
3,cvae,condition_ridge,initiation_time_mae_ms,0,79.66965544730782
3,cvae,condition_ridge,initiation_time_mae_ms,1,46.80912499981172
3,cvae,condition_ridge,initiation_time_mae_ms,2,67.28343601465802
3,cvae,condition_ridge,initiation_time_mae_ms,3,48.869976824973925
3,cvae,condition_ridge,mean_ks,0,0.05195000950814905
3,cvae,condition_ridge,mean_ks,1,-0.02995615495615495
3,cvae,condition_ridge,mean_ks,2,0.0031071820397662758
3,cvae,condition_ridge,mean_ks,3,-0.027221347675893137
3,cvae,condition_ridge,ks_n_submovements,0,0.027811615602313267
3,cvae,condition_ridge,ks_n_submovements,1,-0.001719576719576732
3,cvae,condition_ridge,ks_n_submovements,2,0.00939153439153437
3,cvae,condition_ridge,ks_n_submovements,3,0.009463684463684464
3,cvae,condition_ridge,energy_distance,0,0.26157197842753716
3,cvae,condition_ridge,energy_distance,1,0.03831914355663194
3,cvae,condition_ridge,energy_distance,2,0.08644268143199785
3,cvae,condition_ridge,energy_distance,3,-0.09316973131499477
3,cvae,condition_ridge,mmd_rbf,0,0.04763214407966484
3,cvae,condition_ridge,mmd_rbf,1,-0.03972479579709026
3,cvae,condition_ridge,mmd_rbf,2,0.009021572683581735
3,cvae,condition_ridge,mmd_rbf,3,-0.037254248460361426
3,conditional_ae,unconditional_vae,trajectory_mse,0,-0.0005448690602138333
3,conditional_ae,unconditional_vae,trajectory_mse,1,-0.08456883608676437
3,conditional_ae,unconditional_vae,trajectory_mse,2,0.0004088841599269539
3,conditional_ae,unconditional_vae,trajectory_mse,3,-0.0007426221960131951
3,conditional_ae,unconditional_vae,movement_time_mae_ms,0,-0.28141056163507194
3,conditional_ae,unconditional_vae,movement_time_mae_ms,1,-2.4316117611826167
3,conditional_ae,unconditional_vae,movement_time_mae_ms,2,-0.6340667234671358
3,conditional_ae,unconditional_vae,movement_time_mae_ms,3,-1.3666524237906579
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,0,-2.627780353945387
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,1,-0.9759668689435576
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,2,-1.414959344069404
3,conditional_ae,unconditional_vae,initiation_time_mae_ms,3,5.674493514326926
3,conditional_ae,unconditional_vae,mean_ks,0,-0.01762447285703102
3,conditional_ae,unconditional_vae,mean_ks,1,-0.005849705849705848
3,conditional_ae,unconditional_vae,mean_ks,2,0.00021361285406228312
3,conditional_ae,unconditional_vae,mean_ks,3,0.011296952206043107
3,conditional_ae,unconditional_vae,ks_n_submovements,0,0.0003476067429555761
3,conditional_ae,unconditional_vae,ks_n_submovements,1,0.004761904761904773
3,conditional_ae,unconditional_vae,ks_n_submovements,2,-0.0009259259259259178
3,conditional_ae,unconditional_vae,ks_n_submovements,3,0.012481962481962487
3,conditional_ae,unconditional_vae,energy_distance,0,-0.16825957377445336
3,conditional_ae,unconditional_vae,energy_distance,1,-0.0645677499667703
3,conditional_ae,unconditional_vae,energy_distance,2,-0.008667460118012584
3,conditional_ae,unconditional_vae,energy_distance,3,0.02580578500171891
3,conditional_ae,unconditional_vae,mmd_rbf,0,-0.034916461998036157
3,conditional_ae,unconditional_vae,mmd_rbf,1,-0.009880494718112419
3,conditional_ae,unconditional_vae,mmd_rbf,2,-0.0030129879017330254
3,conditional_ae,unconditional_vae,mmd_rbf,3,0.00336185509165838
3,conditional_ae,spline_pca,trajectory_mse,0,-0.01588658084860911
3,conditional_ae,spline_pca,trajectory_mse,1,-0.16415865538553429
3,conditional_ae,spline_pca,trajectory_mse,2,-0.020566478677008095
3,conditional_ae,spline_pca,trajectory_mse,3,-0.08901244656040451
