run,family,dim,fold,seed,epoch,epochs_run,checkpoint_sha256,max_timing_error,max_mse_error,encoder_swap_change,decoder_swap_change,encoder_condition0_gradient,decoder_condition0_gradient,encoder_condition1_gradient,decoder_condition1_gradient,encoder_condition2_gradient,decoder_condition2_gradient,encoder_condition3_gradient,decoder_condition3_gradient,encoder_condition4_gradient,decoder_condition4_gradient
conditional_ae\fold0\conditional_ae_z3_seed42,conditional_ae,3,0,42,75,100,330cad57931049862d7062cdf14661c1448a6855b96546ac48d4c236460ca861,2.9726409889185845e-08,3.9007568286564265e-08,0.39874768257141113,0.4197467565536499,2.530658721923828,19.272937774658203,1.5625255107879639,31.70877456665039,2.1842663288116455,44.62639617919922,2.8856265544891357,18.96746253967285,1.2499279975891113,22.494186401367188
conditional_ae\fold0\conditional_ae_z3_seed43,conditional_ae,3,0,43,74,99,5a35dc97dfadf57cc9f35216dbb0eafab9f5f510506292e06cc0d22f01a455ad,2.7768707222541877e-08,3.7158203181064664e-08,0.4421783685684204,0.5761481523513794,1.7546489238739014,10.14560604095459,2.6775543689727783,8.736917495727539,2.404313802719116,13.36813735961914,2.7422399520874023,18.814367294311523,1.5049482583999634,31.029767990112305
conditional_ae\fold0\conditional_ae_z3_seed44,conditional_ae,3,0,44,73,98,a4880e18de78fd84993da4d049519872dd9028f916f060cff34764345b537ab1,4.900665273588345e-08,9.410095236361826e-08,0.35858798027038574,0.6056177616119385,0.9731206893920898,5.937532901763916,0.8136720061302185,21.22256088256836,1.176559329032898,29.418659210205078,1.0123642683029175,22.876834869384766,1.0652525424957275,46.001258850097656
conditional_ae\fold0\conditional_ae_z8_seed42,conditional_ae,8,0,42,65,90,22e86db1a882f3986df466b13a62d5e00a6152ed5d96f95e975c5c781a04c908,3.170928963847075e-08,6.169891375584768e-09,0.3230637311935425,0.20414555072784424,2.733112096786499,12.82497501373291,2.061112403869629,5.622314453125,1.4346997737884521,9.264067649841309,0.8997513055801392,5.690632343292236,2.155536651611328,9.058809280395508
conditional_ae\fold0\conditional_ae_z8_seed43,conditional_ae,8,0,43,61,86,249af3a76e6de505d2a367cefe9aae860e0836a38aa78d37eb011c034dcd5a06,2.7288055370888742e-08,2.9133605972120336e-08,0.2789481282234192,0.19572603702545166,1.934695839881897,5.490275859832764,1.2355486154556274,8.52536392211914,1.6836003065109253,6.02903938293457,1.2003556489944458,6.760913372039795,1.6910897493362427,9.519729614257812
conditional_ae\fold0\conditional_ae_z8_seed44,conditional_ae,8,0,44,49,74,3cb837fbefc15aaccae5b9e53d0d6f1edbbd9f230d6fd590509bdb794f0104c6,1.486892697855069e-08,2.400207521624509e-08,0.2232520580291748,0.19801516830921173,1.2208510637283325,2.9079883098602295,1.3035814762115479,4.473834037780762,1.5284535884857178,6.828362941741943,2.33420467376709,11.502609252929688,1.344136118888855,5.2564826011657715
conditional_ae\fold1\conditional_ae_z3_seed42,conditional_ae,3,1,42,32,57,c7503021b015c876c5fb8433f28c5f6173ad87e33e7ca8f0cf23f339c65c1888,2.977447510765785e-08,1.3546752963833342e-07,0.14751625061035156,0.5092918872833252,7.30595064163208,58.17009735107422,6.450103759765625,110.76000213623047,4.089961528778076,166.2531280517578,5.0250773429870605,121.31123352050781,9.943902969360352,192.77220153808594
conditional_ae\fold1\conditional_ae_z3_seed43,conditional_ae,3,1,43,57,82,732e7692e5f9e442b24e56e5353f96b52f4fadcc3d32e644f8c1fdb88ae9efe5,4.792175301027157e-08,4.0698242109726834e-07,0.4210014343261719,0.6344585418701172,12.539341926574707,37.530921936035156,9.561779022216797,53.259159088134766,6.156616687774658,66.35208892822266,4.781692028045654,38.493316650390625,9.405888557434082,124.2962646484375
conditional_ae\fold1\conditional_ae_z3_seed44,conditional_ae,3,1,44,45,70,a34ef43e2c431172dfb54c92fa378c202f8568175584d77f2814588d91f8dc5c,4.614868154284579e-08,4.647216798048248e-07,0.728419303894043,0.7183253765106201,6.838735580444336,89.41078186035156,7.404674530029297,56.92644500732422,6.797828197479248,73.62678527832031,6.057322978973389,62.333518981933594,11.949466705322266,100.75569152832031
conditional_ae\fold1\conditional_ae_z8_seed42,conditional_ae,8,1,42,80,105,8f16dd6669b1664dc909d9940723392f202990fd026aa5e45b159937859d2481,2.9370117227145442e-08,3.5560608013796013e-08,0.29760146141052246,0.34140676259994507,12.76181411743164,38.022239685058594,6.073978424072266,45.39864730834961,3.9740021228790283,114.7122573852539,6.162901401519775,49.932098388671875,9.365903854370117,114.55309295654297
