family,dim,subject,arm,correct_mse,shuffled_mse,shuffled_minus_correct
conditional_ae,3,subject01,both,0.082130626,0.08284012,0.00070949644
conditional_ae,3,subject01,decoder_only,0.082130626,0.08453343,0.0024028048
conditional_ae,3,subject02,both,0.49132362,0.49426612,0.0029425025
conditional_ae,3,subject02,decoder_only,0.49132362,0.4944249,0.0031012893
conditional_ae,3,subject04,both,0.058972366,0.05734648,-0.0016258843
conditional_ae,3,subject04,decoder_only,0.058972366,0.05966316,0.0006907955
conditional_ae,3,subject05,both,0.038381655,0.03977308,0.0013914257
conditional_ae,3,subject05,decoder_only,0.038381655,0.0422874,0.003905747
conditional_ae,3,subject08,both,0.825408,0.8258802,0.0004722476
conditional_ae,3,subject08,decoder_only,0.825408,0.8308114,0.0054033995
conditional_ae,3,subject10,both,0.044747297,0.04401349,-0.0007338077
conditional_ae,3,subject10,decoder_only,0.044747297,0.046495516,0.0017482191
conditional_ae,3,subject11,both,0.22206514,0.22100823,-0.0010569096
conditional_ae,3,subject11,decoder_only,0.22206514,0.22216243,9.728968e-05
conditional_ae,3,subject12,both,0.066307895,0.066047505,-0.00026039034
conditional_ae,3,subject12,decoder_only,0.066307895,0.06753435,0.001226455
conditional_ae,3,subject13,both,0.047888335,0.049798306,0.0019099712
conditional_ae,3,subject13,decoder_only,0.047888335,0.051656958,0.0037686229
conditional_ae,3,subject15,both,0.088970974,0.09134612,0.0023751482
conditional_ae,3,subject15,decoder_only,0.088970974,0.09243677,0.003465794
conditional_ae,3,subject18,both,0.1332066,0.13498102,0.0017744154
conditional_ae,3,subject18,decoder_only,0.1332066,0.13713667,0.003930062
conditional_ae,3,subject19,both,0.04107179,0.03977002,-0.0013017729
conditional_ae,3,subject19,decoder_only,0.04107179,0.041920844,0.00084905326
conditional_ae,3,subject21,both,0.223642,0.2246109,0.0009688884
conditional_ae,3,subject21,decoder_only,0.223642,0.22606683,0.0024248213
conditional_ae,3,subject22,both,0.09522269,0.096196406,0.0009737164
conditional_ae,3,subject22,decoder_only,0.09522269,0.096474186,0.0012514964
conditional_ae,3,subject23,both,0.081247,0.08177987,0.0005328655
conditional_ae,3,subject23,decoder_only,0.081247,0.08383382,0.0025868192
conditional_ae,3,subject24,both,0.09481693,0.09886117,0.004044242
conditional_ae,3,subject24,decoder_only,0.09481693,0.09993529,0.0051183626
conditional_ae,3,subject25,both,0.35731488,0.35590544,-0.0014094412
conditional_ae,3,subject25,decoder_only,0.35731488,0.35840714,0.0010922551
conditional_ae,3,subject26,both,0.20597577,0.2107859,0.0048101246
conditional_ae,3,subject26,decoder_only,0.20597577,0.20971264,0.0037368685
conditional_ae,3,subject27,both,0.0727729,0.07348632,0.0007134229
conditional_ae,3,subject27,decoder_only,0.0727729,0.07407187,0.0012989715
conditional_ae,3,subject30,both,0.05758655,0.058162887,0.00057633594
