run,equal_outputs
unconditional_vae\fold0\unconditional_vae_z3_seed42,True
unconditional_vae\fold0\unconditional_vae_z3_seed43,True
unconditional_vae\fold0\unconditional_vae_z3_seed44,True
unconditional_vae\fold0\unconditional_vae_z8_seed42,True
unconditional_vae\fold0\unconditional_vae_z8_seed43,True
unconditional_vae\fold0\unconditional_vae_z8_seed44,True
unconditional_vae\fold1\unconditional_vae_z3_seed42,True
unconditional_vae\fold1\unconditional_vae_z3_seed43,True
unconditional_vae\fold1\unconditional_vae_z3_seed44,True
unconditional_vae\fold1\unconditional_vae_z8_seed42,True
unconditional_vae\fold1\unconditional_vae_z8_seed43,True
unconditional_vae\fold1\unconditional_vae_z8_seed44,True
unconditional_vae\fold2\unconditional_vae_z3_seed42,True
unconditional_vae\fold2\unconditional_vae_z3_seed43,True
unconditional_vae\fold2\unconditional_vae_z3_seed44,True
unconditional_vae\fold2\unconditional_vae_z8_seed42,True
unconditional_vae\fold2\unconditional_vae_z8_seed43,True
unconditional_vae\fold2\unconditional_vae_z8_seed44,True
unconditional_vae\fold3\unconditional_vae_z3_seed42,True
unconditional_vae\fold3\unconditional_vae_z3_seed43,True
unconditional_vae\fold3\unconditional_vae_z3_seed44,True
unconditional_vae\fold3\unconditional_vae_z8_seed42,True
unconditional_vae\fold3\unconditional_vae_z8_seed43,True
unconditional_vae\fold3\unconditional_vae_z8_seed44,True
