check,passed,detail
canonical cohort,True,
unique trial IDs,True,
finite 100x2 origin-aligned model targets,True,
condition metadata domains,True,
independent condition matrix vs dataset,True,max_abs_error=0.0; atol=0; rtol=0
timing order and values vs dataset,True,max_abs_error=0.0; atol=0; rtol=0
all retained raw MAT motion and stimulus labels match cached conditions,True,[]
fold0 separation,True,
fold0/train/subject01 context-query,True,
fold0/train/subject02 context-query,True,
fold0/train/subject04 context-query,True,
fold0/train/subject08 context-query,True,
fold0/train/subject11 context-query,True,
fold0/train/subject15 context-query,True,
fold0/train/subject18 context-query,True,
fold0/train/subject21 context-query,True,
fold0/train/subject22 context-query,True,
fold0/train/subject23 context-query,True,
fold0/train/subject25 context-query,True,
fold0/train/subject26 context-query,True,
fold0/train/subject36 context-query,True,
fold0/train/subject37 context-query,True,
fold0/train/subject40 context-query,True,
fold0/train/subject41 context-query,True,
fold0/train/subject43 context-query,True,
fold0/validation/subject10 context-query,True,
fold0/validation/subject12 context-query,True,
fold0/validation/subject30 context-query,True,
fold0/validation/subject33 context-query,True,
fold0/test/subject05 context-query,True,
fold0/test/subject13 context-query,True,
fold0/test/subject19 context-query,True,
fold0/test/subject24 context-query,True,
fold0/test/subject27 context-query,True,
fold0/test/subject34 context-query,True,
fold0/test/subject35 context-query,True,
fold1 separation,True,
fold1/train/subject01 context-query,True,
fold1/train/subject04 context-query,True,
fold1/train/subject05 context-query,True,
fold1/train/subject11 context-query,True,
fold1/train/subject12 context-query,True,
fold1/train/subject13 context-query,True,
fold1/train/subject15 context-query,True,
fold1/train/subject19 context-query,True,
fold1/train/subject22 context-query,True,
fold1/train/subject24 context-query,True,
fold1/train/subject27 context-query,True,
fold1/train/subject30 context-query,True,
fold1/train/subject33 context-query,True,
fold1/train/subject34 context-query,True,
fold1/train/subject35 context-query,True,
fold1/train/subject37 context-query,True,
fold1/train/subject40 context-query,True,
fold1/validation/subject02 context-query,True,
fold1/validation/subject10 context-query,True,
fold1/validation/subject21 context-query,True,
fold1/validation/subject36 context-query,True,
fold1/test/subject08 context-query,True,
fold1/test/subject18 context-query,True,
fold1/test/subject23 context-query,True,
fold1/test/subject25 context-query,True,
fold1/test/subject26 context-query,True,
fold1/test/subject41 context-query,True,
fold1/test/subject43 context-query,True,
fold2 separation,True,
fold2/train/subject02 context-query,True,
fold2/train/subject05 context-query,True,
fold2/train/subject08 context-query,True,
fold2/train/subject11 context-query,True,
fold2/train/subject18 context-query,True,
fold2/train/subject19 context-query,True,
fold2/train/subject22 context-query,True,
fold2/train/subject24 context-query,True,
fold2/train/subject25 context-query,True,
fold2/train/subject26 context-query,True,
fold2/train/subject27 context-query,True,
fold2/train/subject30 context-query,True,
fold2/train/subject33 context-query,True,
fold2/train/subject35 context-query,True,
fold2/train/subject40 context-query,True,
fold2/train/subject41 context-query,True,
fold2/train/subject43 context-query,True,
fold2/validation/subject13 context-query,True,
fold2/validation/subject23 context-query,True,
fold2/validation/subject34 context-query,True,
fold2/validation/subject37 context-query,True,
fold2/test/subject01 context-query,True,
fold2/test/subject04 context-query,True,
fold2/test/subject10 context-query,True,
fold2/test/subject12 context-query,True,
fold2/test/subject15 context-query,True,
fold2/test/subject21 context-query,True,
fold2/test/subject36 context-query,True,
fold3 separation,True,
fold3/train/subject04 context-query,True,
fold3/train/subject05 context-query,True,
fold3/train/subject12 context-query,True,
fold3/train/subject13 context-query,True,
fold3/train/subject18 context-query,True,
fold3/train/subject19 context-query,True,
fold3/train/subject21 context-query,True,
fold3/train/subject23 context-query,True,
fold3/train/subject24 context-query,True,
fold3/train/subject25 context-query,True,
fold3/train/subject26 context-query,True,
fold3/train/subject27 context-query,True,
fold3/train/subject34 context-query,True,
fold3/train/subject35 context-query,True,
fold3/train/subject36 context-query,True,
