fold,seed,subject,arm,donor,mean_ks,energy_distance,mmd_rbf
1,44,subject08,own,subject08,0.3611111111111111,1.35457564895193,0.23660107250822426
1,44,subject08,population,training_mean,0.47474747474747475,4.009711180668967,0.5354412466982337
1,44,subject08,wrong,subject18,0.4787878787878787,3.7919831541789724,0.5214072040384644
1,44,subject08,wrong,subject23,0.5840909090909091,5.131812326982165,0.6305460463299266
1,44,subject08,wrong,subject25,0.48055555555555557,3.7206606280601044,0.5208126255261888
1,44,subject08,wrong,subject26,0.4315656565656566,3.7034916221845555,0.5133054739618634
1,44,subject08,wrong,subject41,0.5446969696969698,4.340535194883204,0.5766318949628384
1,44,subject08,wrong,subject43,0.47929292929292927,4.034896244016536,0.5488665067872669
1,44,subject18,own,subject18,0.25328282828282833,0.6637585185360741,0.11517268745735632
1,44,subject18,population,training_mean,0.3108585858585859,1.0600578261341091,0.17443767617093042
1,44,subject18,wrong,subject08,0.4507575757575758,2.4960410083849394,0.4213316786745752
1,44,subject18,wrong,subject23,0.42247474747474756,1.6652703267428515,0.2604940810425064
1,44,subject18,wrong,subject25,0.40454545454545465,2.0261500348911485,0.35644150749176784
1,44,subject18,wrong,subject26,0.38560606060606056,1.5589316869107095,0.26712118965823395
1,44,subject18,wrong,subject41,0.44520202020202027,1.87854512011761,0.30682451607991446
1,44,subject18,wrong,subject43,0.2840909090909091,0.8525138387175737,0.1423950858660883
1,44,subject23,own,subject23,0.1808080808080808,0.1696075433583797,0.024894998760091602
1,44,subject23,population,training_mean,0.24797979797979794,0.5157959604563116,0.07967009107533685
1,44,subject23,wrong,subject08,0.4974747474747474,2.800411707429763,0.45463138854506074
1,44,subject23,wrong,subject18,0.3525252525252526,1.3458072871551288,0.22518238430765414
1,44,subject23,wrong,subject25,0.3808080808080808,1.8026227275717073,0.3181224082107661
1,44,subject23,wrong,subject26,0.3285353535353535,1.1104132929194317,0.1790039471990782
1,44,subject23,wrong,subject41,0.251010101010101,0.5920796312914534,0.10783729529622432
1,44,subject23,wrong,subject43,0.24444444444444446,0.65748703724211,0.10962884759187763
1,44,subject25,own,subject25,0.22196969696969696,0.3019568278910456,0.040230944624836895
1,44,subject25,population,training_mean,0.3409090909090909,1.0894150678392664,0.1681952404583642
1,44,subject25,wrong,subject08,0.3535353535353535,1.3889411748438092,0.2245029687590051
1,44,subject25,wrong,subject18,0.3376262626262626,0.9262902354835738,0.14193342289735011
1,44,subject25,wrong,subject23,0.4606060606060607,1.8167289086218514,0.279761619907239
1,44,subject25,wrong,subject26,0.304040404040404,0.9434999091679561,0.14276577007593283
1,44,subject25,wrong,subject41,0.38560606060606056,1.0929650649281948,0.17243568560420275
1,44,subject25,wrong,subject43,0.3351010101010101,1.1750854277657852,0.1865216534960613
1,44,subject26,own,subject26,0.2724747474747475,0.737664987918405,0.09554530606869949
1,44,subject26,population,training_mean,0.28282828282828276,0.8867822004743755,0.10867170225435607
1,44,subject26,wrong,subject08,0.34621212121212125,1.2220024847148876,0.20246918130309355
1,44,subject26,wrong,subject18,0.25959595959595955,0.6843314062154424,0.0961153436044766
1,44,subject26,wrong,subject23,0.39040404040404036,2.1805033058645966,0.27961063446354295
1,44,subject26,wrong,subject25,0.3598484848484848,1.339574837061161,0.19829869459100646
1,44,subject26,wrong,subject41,0.3702020202020202,1.7311179547417086,0.2313838389943781
1,44,subject26,wrong,subject43,0.2848484848484849,0.8105530117738207,0.10206843333954407
1,44,subject41,own,subject41,0.33455710955710954,1.0677172462725433,0.05029609591870943
1,44,subject41,population,training_mean,0.3216783216783217,1.2426110756938886,0.06797760274763764
1,44,subject41,wrong,subject08,0.42173659673659675,2.2997910616029484,0.2682621175649638
1,44,subject41,wrong,subject18,0.3800699300699301,1.715301932712828,0.14890747504369306
1,44,subject41,wrong,subject23,0.3466783216783217,1.3545190888757643,0.08435267214440256
1,44,subject41,wrong,subject25,0.3647435897435897,1.5094022153492856,0.14151108580243743
1,44,subject41,wrong,subject26,0.3875874125874125,1.5663427725899148,0.12242265213615866
1,44,subject41,wrong,subject43,0.3207459207459208,1.1027263879634623,0.04954857266355883
1,44,subject43,own,subject43,0.20075757575757572,0.24848494048094683,0.03688982565438437
1,44,subject43,population,training_mean,0.22500000000000006,0.40677847158996494,0.06983634668723049
1,44,subject43,wrong,subject08,0.43762626262626264,2.63269655099683,0.44460233121135284
1,44,subject43,wrong,subject18,0.303030303030303,0.9496981314213553,0.16777290176823556
1,44,subject43,wrong,subject23,0.2396464646464647,0.481563345796995,0.07922942106125885
1,44,subject43,wrong,subject25,0.3257575757575758,1.6500284232501996,0.30919139183914235
1,44,subject43,wrong,subject26,0.3159090909090909,1.063840889017027,0.19703308978591738
1,44,subject43,wrong,subject41,0.2946969696969697,0.7221359677460257,0.13304949111144837
