fold,subject,arm,mean_ks,energy_distance,mmd_rbf
0,subject05,own,0.21498316498316497,0.27338118959496743,0.0520245876416083
0,subject05,population,0.3258417508417508,0.9231078131134055,0.1807272912192587
0,subject05,wrong,0.3189814814814815,0.9835869256607118,0.19441951741736918
0,subject13,own,0.194023569023569,0.2364355793287777,0.03869004805199484
0,subject13,population,0.3371212121212121,0.9500968537789906,0.17309027541600353
0,subject13,wrong,0.3296436588103255,0.9852201369965349,0.18257187705486722
0,subject19,own,0.18644781144781142,0.19623815763054708,0.03260322312556994
0,subject19,population,0.2885521885521885,1.0001018679188085,0.18911922615271917
0,subject19,wrong,0.2886784511784511,0.9103274507137357,0.1735270958366669
0,subject24,own,0.15235690235690227,0.12774454657563686,0.012591237860748533
0,subject24,population,0.17045454545454541,0.17997026661221016,0.02224876710898553
0,subject24,wrong,0.23991301907968574,0.5705686932229389,0.09884061486300844
0,subject27,own,0.24452861952861946,0.49856278466806564,0.0958566844869287
0,subject27,population,0.30277777777777776,1.0576791016852762,0.2107738080909581
0,subject27,wrong,0.34824635241301904,1.551281635708637,0.3133618741136941
0,subject34,own,0.2275252525252525,0.3416408087068084,0.061489407557845564
0,subject34,population,0.306986531986532,0.6146249943654373,0.1130756579622006
0,subject34,wrong,0.31154601571268237,0.7820762000342335,0.14800598730039144
0,subject35,own,0.21147521728917074,0.4486520889611181,0.07579159028838738
0,subject35,population,0.25598426121681933,0.6415392269740018,0.12400660289830523
0,subject35,wrong,0.3249138673557278,1.27922456855611,0.2561914356578405
1,subject08,own,0.36691919191919187,1.5141055917473347,0.26178158763487885
1,subject08,population,0.49393939393939396,4.265881281989528,0.567279211832507
1,subject08,wrong,0.50753367003367,4.269989169705032,0.5719902070610897
1,subject18,own,0.253030303030303,0.6181205144582345,0.1067561411040045
1,subject18,population,0.3264309764309764,1.125263170962184,0.18635196796622142
1,subject18,wrong,0.40507856341189674,1.8376719178854355,0.3052972486219912
1,subject23,own,0.1818181818181818,0.16066797140624875,0.024472658809009635
1,subject23,population,0.24671717171717167,0.5033807510340936,0.08246469147674133
1,subject23,wrong,0.34774130190796854,1.4723832350596175,0.2459953906940512
1,subject25,own,0.23644781144781138,0.35026931993773697,0.050753360000307564
1,subject25,population,0.35361952861952856,1.1927963818955993,0.1874285293729815
1,subject25,wrong,0.3733726150392817,1.353309724414548,0.21171006975215723
1,subject26,own,0.27634680134680134,0.8471894431103352,0.11628870630668608
1,subject26,population,0.3094276094276094,1.0715259506101091,0.140962500213158
1,subject26,wrong,0.3445847362514029,1.3846098253164383,0.19654640614266702
1,subject41,own,0.31870629370629366,1.082873168647563,0.05593073446461163
1,subject41,population,0.3247863247863248,1.2716241637340135,0.07993067144186883
1,subject41,wrong,0.3788591038591038,1.6943399077575894,0.15433470627087198
1,subject43,own,0.16254208754208752,0.165080053744982,0.020974809149332765
1,subject43,population,0.2099326599326599,0.32054629660737755,0.05222187987310923
1,subject43,wrong,0.3187850729517396,1.210971636516457,0.20888174771827342
2,subject01,own,0.1408249158249158,0.14813746323894703,0.025399735258013072
2,subject01,population,0.20900673400673397,0.4277554814111462,0.07867591767244968
2,subject01,wrong,0.2713383838383838,0.8474879395793821,0.16062547115389614
2,subject04,own,0.15538720538720538,0.1219704622390067,0.017492733583010203
2,subject04,population,0.2315656565656565,0.3663445360364415,0.06739341911384093
2,subject04,wrong,0.2601571268237935,0.5805510297972408,0.10832726203871242
2,subject10,own,0.18863636363636363,0.20994955183049482,0.036158826538026705
2,subject10,population,0.28493265993265987,0.6312761841315601,0.12003004703076497
2,subject10,wrong,0.28150953984287314,0.7412698729767732,0.13886220568685645
2,subject12,own,0.25370370370370365,0.5873170110148987,0.10944771610285157
2,subject12,population,0.3232323232323232,1.2870990517053023,0.24502005731814122
2,subject12,wrong,0.3055695847362514,1.2737957782914962,0.24056790218041477
2,subject15,own,0.1883441153104074,0.22605336192056072,0.0370170064193401
2,subject15,population,0.20672454885938027,0.35734751061284253,0.06412059677880846
