subject,available,retained,excluded
subject01,180,180,0
subject02,60,60,0
subject04,180,180,0
subject05,180,180,0
subject08,180,179,1
subject10,180,180,0
subject11,180,180,0
subject12,180,180,0
subject13,180,180,0
subject15,180,177,3
subject18,180,178,2
subject19,180,178,2
subject21,180,178,2
subject22,180,180,0
subject23,180,180,0
subject24,180,178,2
subject25,180,178,2
subject26,180,179,1
subject27,180,177,3
subject30,180,180,0
subject33,180,174,6
subject34,180,180,0
subject35,174,171,3
subject36,180,180,0
subject37,180,180,0
subject40,180,177,3
subject41,29,28,1
subject43,180,180,0
