feature_view,latent_dim,metric,model_a,model_b,n,mean_a,mean_b,a_better_n,p,q_bh_72,p_holm_72
original,3,mean_ks,spline_pca,conditional_ae,28,0.32512558828878874,0.2875782467460616,3,4.830211400985718e-05,0.00013375970033498912,0.0022701993584632874
original,3,mean_ks,spline_pca,cvae,28,0.32512558828878874,0.277794512736878,2,3.203749656677246e-07,1.1533498764038086e-05,2.2746622562408447e-05
original,3,mean_ks,spline_pca,unconditional_vae,28,0.32512558828878874,0.2845873433344037,3,7.964670658111572e-06,4.0961163384573804e-05,0.00047788023948669434
original,3,mean_ks,conditional_ae,cvae,28,0.2875782467460616,0.277794512736878,8,0.05638675391674042,0.07381538694555109,1.0
original,3,mean_ks,conditional_ae,unconditional_vae,28,0.2875782467460616,0.2845873433344037,13,0.732665168036112,0.7873416731134338,1.0
original,3,mean_ks,cvae,unconditional_vae,28,0.277794512736878,0.2845873433344037,20,0.014352221824079804,0.021898303180933,0.38750998925015473
original,3,energy_distance,spline_pca,conditional_ae,28,0.9774327846489691,0.8014886680346697,10,0.007071197032928467,0.011571049690246582,0.20506471395492554
original,3,energy_distance,spline_pca,cvae,28,0.9774327846489691,0.7454307783136663,4,4.2110681533813477e-05,0.00012127876281738281,0.0020634233951568604
original,3,energy_distance,spline_pca,unconditional_vae,28,0.9774327846489691,0.7475664183202901,4,4.2110681533813477e-05,0.00012127876281738281,0.0020634233951568604
original,3,energy_distance,conditional_ae,cvae,28,0.8014886680346697,0.7454307783136663,6,0.014598868787288666,0.021898303180933,0.38750998925015473
original,3,energy_distance,conditional_ae,unconditional_vae,28,0.8014886680346697,0.7475664183202901,8,0.021778732538223267,0.0313613748550415,0.5009108483791351
original,3,energy_distance,cvae,unconditional_vae,28,0.7454307783136663,0.7475664183202901,14,0.9910601079463959,0.9910601079463959,1.0
original,3,mmd_rbf,spline_pca,conditional_ae,28,0.18146673357380652,0.14141003392147813,4,7.204711437225342e-05,0.00017887559430352574,0.0033141672611236572
original,3,mmd_rbf,spline_pca,cvae,28,0.18146673357380652,0.13093505803964908,4,7.964670658111572e-06,4.0961163384573804e-05,0.00047788023948669434
original,3,mmd_rbf,spline_pca,unconditional_vae,28,0.18146673357380652,0.13029801153992232,4,9.395182132720947e-06,4.227831959724426e-05,0.0005449205636978149
original,3,mmd_rbf,conditional_ae,cvae,28,0.14141003392147813,0.13093505803964908,8,0.028050199151039124,0.03883873728605417,0.5890541821718216
original,3,mmd_rbf,conditional_ae,unconditional_vae,28,0.14141003392147813,0.13029801153992232,8,0.01362369954586029,0.021797919273376466,0.38146358728408813
original,3,mmd_rbf,cvae,unconditional_vae,28,0.13093505803964908,0.13029801153992232,13,0.9374814853072166,0.9642666706017085,1.0
original,8,mean_ks,spline_pca,conditional_ae,28,0.25479443629207865,0.2586862157259098,13,0.9274221545542304,0.9642666706017085,1.0
original,8,mean_ks,spline_pca,cvae,28,0.25479443629207865,0.2194040015986948,5,3.663450479507446e-05,0.00011468192805414615,0.0018317252397537231
original,8,mean_ks,spline_pca,unconditional_vae,28,0.25479443629207865,0.21512115987954528,4,6.735324859619141e-06,4.0411949157714844e-05,0.0004108548164367676
original,8,mean_ks,conditional_ae,cvae,28,0.2586862157259098,0.2194040015986948,6,0.0003059804439544678,0.0006119608879089355,0.011321276426315308
