model_family,latent_dim,fold,subject,feature_view,mean_ks,energy_distance,mmd_rbf
conditional_ae,3,0,subject05,original,0.3494107744107744,0.9506280095289145,0.18786282036138877
conditional_ae,3,0,subject05,reduced,0.34248971193415634,0.8449478738000974,0.20952429529041897
conditional_ae,3,0,subject13,original,0.2429292929292929,0.4338021244186798,0.07552394235608047
conditional_ae,3,0,subject13,reduced,0.2313786008230453,0.32557709104756344,0.08181818558263831
conditional_ae,3,0,subject19,original,0.23762626262626263,0.46945136590351993,0.09930837638648515
conditional_ae,3,0,subject19,reduced,0.26080246913580246,0.47350958688873535,0.11614247446782482
conditional_ae,3,0,subject24,original,0.16111111111111112,0.21898815541397454,0.03881482510015277
conditional_ae,3,0,subject24,reduced,0.16676954732510288,0.2137052234626943,0.04713822254093314
conditional_ae,3,0,subject27,original,0.2766835016835017,1.0161342357606313,0.20795659013875378
conditional_ae,3,0,subject27,reduced,0.3,1.063971571795762,0.24424545474125034
conditional_ae,3,0,subject34,original,0.3048821548821549,0.756874882749906,0.14052741554473433
conditional_ae,3,0,subject34,reduced,0.2741769547325103,0.5001584137177738,0.1169146819911634
conditional_ae,3,0,subject35,original,0.20594902513507166,0.46251316142386195,0.07943133744144097
conditional_ae,3,0,subject35,reduced,0.216817398794143,0.4771548074298151,0.09152664874634397
conditional_ae,3,1,subject08,original,0.49107744107744117,2.8846430052069394,0.5170862780388129
conditional_ae,3,1,subject08,reduced,0.489917695473251,2.78147124962562,0.5329155100995316
conditional_ae,3,1,subject18,original,0.37138047138047137,1.296886688902751,0.22961045241214093
conditional_ae,3,1,subject18,reduced,0.40432098765432095,1.3693035855599665,0.2641392574280216
conditional_ae,3,1,subject23,original,0.2767676767676768,0.5571225445957683,0.08933633738687267
conditional_ae,3,1,subject23,reduced,0.24537037037037038,0.3123882591751396,0.06662962690837944
conditional_ae,3,1,subject25,original,0.3511784511784512,1.0297981150780304,0.18342832143915774
conditional_ae,3,1,subject25,reduced,0.38117283950617287,1.0333444137246548,0.193329369441274
conditional_ae,3,1,subject26,original,0.3767676767676768,1.4672761945575667,0.21940312492708616
conditional_ae,3,1,subject26,reduced,0.33580246913580253,1.1836890914046363,0.19207437816548467
conditional_ae,3,1,subject41,original,0.39087024087024086,1.4808142738214336,0.13418493137445875
conditional_ae,3,1,subject41,reduced,0.37407407407407406,1.3529069409292511,0.1190461364740865
conditional_ae,3,1,subject43,original,0.22011784511784513,0.34870918203913526,0.06141451372719938
conditional_ae,3,1,subject43,reduced,0.21460905349794243,0.3162623686960804,0.06950112573143548
conditional_ae,3,2,subject01,original,0.22626262626262625,0.38274580255879487,0.06555259223909356
conditional_ae,3,2,subject01,reduced,0.18333333333333335,0.1939041204121441,0.034304115249623214
conditional_ae,3,2,subject04,original,0.2275252525252525,0.3278673347490728,0.06383885369065234
conditional_ae,3,2,subject04,reduced,0.19506172839506172,0.21683024315193014,0.04881664455812559
conditional_ae,3,2,subject10,original,0.27988215488215484,0.6121915212986536,0.12004584913941485
conditional_ae,3,2,subject10,reduced,0.2552469135802469,0.41747862185224544,0.10046575416407318
conditional_ae,3,2,subject12,original,0.2644781144781145,0.7306421488814077,0.13648865120624928
conditional_ae,3,2,subject12,reduced,0.24866255144032923,0.6059574565993279,0.13449681041669617
conditional_ae,3,2,subject15,original,0.20557825445465894,0.34626857545892803,0.06870284360889156
conditional_ae,3,2,subject15,reduced,0.20334997919267583,0.2867391736708442,0.06878467959099843
conditional_ae,3,2,subject21,original,0.40597643097643105,1.1616912189139628,0.22997733361500103
conditional_ae,3,2,subject21,reduced,0.35555555555555557,0.6176328404111356,0.1367427882117088
conditional_ae,3,2,subject36,original,0.25075757575757573,0.4798500823210137,0.09236178580795236
conditional_ae,3,2,subject36,reduced,0.25524691358024687,0.4568077259328163,0.10592373555461539
conditional_ae,3,3,subject02,original,0.3575757575757576,1.164077413276208,0.2255756458421662
conditional_ae,3,3,subject02,reduced,0.358641975308642,0.9373339425206334,0.21678048169601802
conditional_ae,3,3,subject11,original,0.2291245791245791,0.8632901237323303,0.14448613298685153
conditional_ae,3,3,subject11,reduced,0.23796296296296296,0.8759828570357368,0.16554943736648528
conditional_ae,3,3,subject22,original,0.2275252525252525,0.35683538258471836,0.06321386450913964
conditional_ae,3,3,subject22,reduced,0.23713991769547324,0.35858992664433914,0.07474157488538043
conditional_ae,3,3,subject30,original,0.2644781144781145,0.5286886147509744,0.10375538735857733
conditional_ae,3,3,subject30,reduced,0.2737654320987654,0.538626629471686,0.12504867790703902
conditional_ae,3,3,subject33,original,0.2480257116620753,0.34409726364331245,0.06154683578759953
conditional_ae,3,3,subject33,reduced,0.23737373737373738,0.2989905717078967,0.057846973307953076
conditional_ae,3,3,subject37,original,0.37104377104377106,1.3281947784176846,0.23834844462338145
conditional_ae,3,3,subject37,reduced,0.3544238683127572,1.228171655359121,0.24761966289501888
conditional_ae,3,3,subject40,original,0.2372053872053872,0.44160050498257314,0.08169746275165235
conditional_ae,3,3,subject40,reduced,0.24516460905349793,0.4415837375852987,0.091346840054092
conditional_ae,8,0,subject05,original,0.34840067340067343,0.8865722921455452,0.1972722118644543
conditional_ae,8,0,subject05,reduced,0.3490740740740741,0.8020821062291227,0.21871903689197544
conditional_ae,8,0,subject13,original,0.3272727272727273,0.8384846746446503,0.15394754646286826
conditional_ae,8,0,subject13,reduced,0.3209876543209877,0.645697567277932,0.16712708772440796
