model_family,latent_dim,seed,fold,subject,feature_view,n_features,mean_ks,energy_distance,mmd_rbf,reproduction_error
spline_pca,3,-1,0,subject05,original,11,0.3138888888888889,0.8630668029173432,0.21234349470826097,8.326672684688674e-17
spline_pca,3,-1,0,subject05,reduced,9,0.3287037037037037,0.7776482321136915,0.2209204385496074,0.0
spline_pca,3,-1,0,subject13,original,11,0.21767676767676772,0.4325527808606653,0.1038775976439017,8.326672684688674e-17
spline_pca,3,-1,0,subject13,reduced,9,0.22098765432098766,0.33735595746638625,0.0929634406377331,0.0
spline_pca,3,-1,0,subject19,original,11,0.23989898989898994,0.5483185388309133,0.10245916596518279,8.326672684688674e-17
spline_pca,3,-1,0,subject19,reduced,9,0.2512345679012346,0.48742766551875283,0.12761001295388907,0.0
spline_pca,3,-1,0,subject24,original,11,0.19545454545454544,0.19049181401372284,0.029988777723009785,8.847089727481716e-17
spline_pca,3,-1,0,subject24,reduced,9,0.20401234567901236,0.1836585309794163,0.036082022889926124,0.0
spline_pca,3,-1,0,subject27,original,11,0.380050505050505,1.3006688903498795,0.2962597576880852,8.326672684688674e-17
spline_pca,3,-1,0,subject27,reduced,9,0.3962962962962963,1.2551893421960747,0.31806206877558063,0.0
spline_pca,3,-1,0,subject34,original,11,0.351010101010101,0.8498842976536811,0.19263020937331266,5.551115123125783e-17
spline_pca,3,-1,0,subject34,reduced,9,0.3462962962962963,0.688824418514669,0.17261460867995326,0.0
spline_pca,3,-1,0,subject35,original,11,0.27919309372797746,0.5905657441643033,0.10736823945079321,8.326672684688674e-17
spline_pca,3,-1,0,subject35,reduced,9,0.31442721791559003,0.604243791114742,0.12716019702622694,0.0
spline_pca,8,-1,0,subject05,original,11,0.2744949494949495,0.9737167541712131,0.17221233863864138,1.1102230246251565e-16
spline_pca,8,-1,0,subject05,reduced,9,0.26913580246913577,0.7594390866403691,0.19511429957152604,0.0
spline_pca,8,-1,0,subject13,original,11,0.23080808080808082,0.8180989417095619,0.1262501369318213,9.71445146547012e-17
spline_pca,8,-1,0,subject13,reduced,9,0.23456790123456792,0.6860996807582689,0.137881941571233,0.0
spline_pca,8,-1,0,subject19,original,11,0.31186868686868685,0.9413779535559552,0.15089061563175143,5.551115123125783e-17
spline_pca,8,-1,0,subject19,reduced,9,0.31419753086419755,0.720739588178664,0.17616381244349122,0.0
spline_pca,8,-1,0,subject24,original,11,0.22702020202020207,0.48358646507498904,0.06430069459598975,8.326672684688674e-17
spline_pca,8,-1,0,subject24,reduced,9,0.1978395061728395,0.2845837814029668,0.05691324694965394,0.0
spline_pca,8,-1,0,subject27,original,11,0.27070707070707073,0.8371491053103783,0.1852179441503048,8.326672684688674e-17
spline_pca,8,-1,0,subject27,reduced,9,0.2824074074074074,0.7891183661610968,0.2052307604857947,0.0
spline_pca,8,-1,0,subject34,original,11,0.23560606060606062,0.5529623828410681,0.11895677819943618,8.326672684688674e-17
spline_pca,8,-1,0,subject34,reduced,9,0.2540123456790124,0.51885587919275,0.1378731629728006,0.0
spline_pca,8,-1,0,subject35,original,11,0.30315362931642,0.8746693836370962,0.1335415586736406,8.326672684688674e-17
spline_pca,8,-1,0,subject35,reduced,9,0.2889104220499569,0.7249252356858125,0.1319228934180744,0.0
conditional_ae,3,42,0,subject05,original,11,0.34696969696969693,1.0254844051117216,0.1920258441088546,8.326672684688674e-17
conditional_ae,3,42,0,subject05,reduced,9,0.33271604938271604,0.8068454747687825,0.19717760119672834,0.0
conditional_ae,3,42,0,subject13,original,11,0.23207070707070707,0.43393889680891196,0.08125839279359781,8.326672684688674e-17
conditional_ae,3,42,0,subject13,reduced,9,0.22067901234567905,0.3435351677642329,0.09201215395069084,0.0
conditional_ae,3,42,0,subject19,original,11,0.2095959595959596,0.40195656328859686,0.08528256561973058,8.326672684688674e-17
conditional_ae,3,42,0,subject19,reduced,9,0.23240740740740742,0.4003837549191127,0.0987532823551176,0.0
conditional_ae,3,42,0,subject24,original,11,0.1383838383838384,0.18819615467964423,0.033804010348975844,8.326672684688674e-17
conditional_ae,3,42,0,subject24,reduced,9,0.15648148148148147,0.20132878635154317,0.04541140718837511,0.0
