subject,trial_id,fold,dim,family,seed,mse,participant_rank_target,sp,side
subject15,subject15_li_2_1_1_26,2,3,spline_pca,,0.0241783787555658,0.5,1,1
subject15,subject15_li_2_1_1_26,2,3,cvae,42.0,0.0361307956487177,0.5,1,1
subject15,subject15_li_2_1_1_26,2,3,unconditional_vae,42.0,0.0364758763393386,0.5,1,1
subject15,subject15_li_2_1_1_26,2,8,spline_pca,,0.0041545069129324,0.5,1,1
subject15,subject15_li_2_1_1_26,2,8,cvae,42.0,0.0057961915406753,0.5,1,1
subject15,subject15_li_2_1_1_26,2,8,conditional_ae,42.0,0.0035960065549534,0.5,1,1
subject41,subject41_li_2_1_1_25,1,3,spline_pca,,0.0637952066102421,0.9,1,1
subject41,subject41_li_2_1_1_25,1,3,cvae,42.0,0.1083210141610271,0.9,1,1
subject41,subject41_li_2_1_1_25,1,3,unconditional_vae,42.0,0.1107242745053747,0.9,1,1
subject41,subject41_li_2_1_1_25,1,8,spline_pca,,0.0140240189974789,0.9,1,1
subject41,subject41_li_2_1_1_25,1,8,cvae,42.0,0.0240113343707149,0.9,1,1
subject41,subject41_li_2_1_1_25,1,8,conditional_ae,42.0,0.0138690969386629,0.9,1,1
